Genetic population name	Language name
Hadza	Hadza 
Sandawe	Sandawe 
San	Qxu^ 
!XunKxoe	Kxoe 
Mandenka	Mandinka 
Dioula	Dyula 
FulaniAdamawa	Fula 
Mbum	Mbum 
Gbaya	Gbaya 
Yakoma	Yakoma 
Ashanti	Akan 
Brong	Abron 
Bassange	Nupe 
Gwari	Gwari 
Yoruba	Yoruba 
Igala	Igala 
Bamoun	Bamun 
Bedzan	Tikar 
NorthTikar	Tikar 
SouthTikar	Tikar 
Iyassa	Yasa 
Banen	Tunen 
Bafia	Kpa 
Ewondo	Ewondo 
Bulu	Bulu 
Fang	Fang 
Mvae	Fang 
Ntumu	Fang 
Mabea	Ngumba 
Ngumba	Ngumba 
Kikuyu	Kikuyu 
Sukuma	Sukuma 
Turu	Rimi 
Kongo	Kongo 
Luhya	Luyia 
TutsiHutu	Rwanda 
Baluba	Luba-Kasai 
Venda	Venda 
Xhosa	Xhosa 
Kanuri	Kanuri 
Nyimang	Nyimang 
Shilook	Shilluk 
Luo	Luo 
Nuer	Nuer 
Maasai-Tanzania	Maasai 
Ilchamus	Maasai 
MaasaiIlgwesi	Maasai 
MaasaiMumonyot	Maasai 
Pokot	Pakot 
Ngambaye	Gambai 
Zulgo	Mofu 
Hausa-Cameroon	Hausa 
Hausa-Nigeria	Hausa 
BejaBanuamir	Beja 
BejaHadandawa	Beja 
Burji	Burji 
Yaaku	Yaaku 
Rendille	Rendille 
Wata	Aweer 
Iraqw	Iraqw 
AshkenaziJ	Hebrew 
Baggara	Eastern Arabic 
Palestinian	Eastern Arabic 
BetaIsrael	Amharic 
Basque	Basque 
Adygei	Adygh 
Kashmiri	Kashmiri 
Marathi	Marathi 
Konkani	Konkani 
Sindhi	Sindhi 
Punjabi	Punjabi 
Gujarati	Gujarati 
Parsi	Gujarati 
Hindi	Hindi 
Oriya	Oriya 
Bengali	Bengali 
Assamese	Assamese 
Pathan	Pashto 
Balochi	Baluchi 
Hazara	Farsi 
Sardinian	Sardinian 
Italian	Italian 
Tuscan	Italian 
French	French 
Orcadian	Scottish Gaelic 
Russian	Russian 
TundraNentsi	Nenets 
Uygur	Uighur 
Yakut	Yakut 
Tu	Monguor 
Mongola	Buriat 
Xibo	Manchu 
Japanese	Japanese 
Brahui	Brahui 
Telugu	Telugu 
Kannada	Kannada 
Tamil	Tamil 
Malayalam	Malayalam 
Han-NChina	Mandarin 
Lahu	Lahu 
Miao	Miao 
Cambodian	Khmer 
Taruko	Sedeq 
Ami	Ami 
Kove	Kove 
Nakanai-Bileki	Bileki 
Nakanai-Loso	Bileki 
Mengen	Mengen 
Tolai-Kabakada	Tolai 
Tolai-Vunairoto	Tolai 
Tigak	Tigak 
Teop	Teop 
Samoans	Samoan 
Maoris	Rarotongan 
EastHigh-Gimi-Goroka	Gimi 
Baining-Malasait	Baining 
Baining-Marabu	Baining 
Baining-Rangulit	Baining 
Nasioi	Nasioi 
Aita	Rotokas 
Chipewyan	Chipewyan 
Ojibwa	Ojibwa 
Mixe	Mixe 
Maya	Yucatec 
Kaqchikel	Cakchiquel 
Pima	Pima Bajo 
Cabecar	Cabecar 
Guaymi	Guaymi 
Arhuaco	Ica 
Embera	Embera 
Waunana	Waunana 
Inga	Quechua A 
Quechua	Quechua A 
Aymara	Aymara 
TicunaArara	Ticuna 
TicunaTarapaca	Ticuna 
Guarani	Kaiwa 
Wayuu	Goajiro 
Kaingang	Kaingang 
